"","Line0000Point0002.Raw","Line0000Point0002.Defl","Line0000Point0002.Amp","Line0000Point0002.Phase","Line0000Point0002.Phas2","Line0000Point0002.Freq","Line0000Point0002.ZSnsr","Line0000Point0002.Bias"
"15589",-1.22892856779799e-06,8.31153315061783e-08,5.8090778715103e-11,70.9543609619141,66.6812362670898,1752849.25,-1.22899677990063e-06,-1.20000004768372
"15590",-1.22905407806684e-06,8.33190227922387e-08,6.4025749979546e-11,67.9218978881836,66.2123031616211,1752848.875,-1.22894311971322e-06,-1.20000004768372
"15591",-1.22889446174668e-06,8.3426186847646e-08,6.16877313119879e-11,62.2881011962891,64.9707870483398,1752848.375,-1.22889377962565e-06,-1.20000004768372
"15592",-1.22852873118973e-06,8.35035720569977e-08,5.75512346112639e-11,57.3080787658691,64.6520080566406,1752848.125,-1.22886581266357e-06,-1.20000004768372
"15593",-1.2288664947846e-06,8.34100148949801e-08,5.82706244367515e-11,62.6368751525879,60.7713012695312,1752848.125,-1.22886422104784e-06,-1.20000004768372
"15594",-1.22893777643185e-06,8.330086842534e-08,6.00691024699174e-11,65.2923278808594,64.3673706054688,1752848,-1.22887308862119e-06,-1.20000004768372
"15595",-1.22911910693801e-06,8.33774294051182e-08,6.29466617718677e-11,62.7678337097168,68.9113388061523,1752847.75,-1.22886672215827e-06,-1.20000004768372
"15596",-1.22878282127203e-06,8.33228170904476e-08,6.20474227552847e-11,64.1951293945312,66.0635375976562,1752847.375,-1.2288312518649e-06,-1.20000004768372
"15597",-1.22878441288776e-06,8.32478264101155e-08,5.61124549602887e-11,67.9705047607422,61.1761894226074,1752847.375,-1.22877122521459e-06,-1.20000004768372
"15598",-1.22865890261892e-06,8.32050872645596e-08,5.71915396985201e-11,61.7452239990234,60.3417434692383,1752847.375,-1.22870096674887e-06,-1.20000004768372
"15599",-1.22878441288776e-06,8.32296720432169e-08,8.25500501289156e-11,19.2084579467773,25.0125865936279,1752847.25,-1.22863548313035e-06,-1.20000004768372
"15600",-1.22832568649756e-06,8.34055597920269e-08,1.24994084527152e-10,-6.61546468734741,-0.0618195533752441,1752846.75,-1.22859114526364e-06,0
"15601",-1.22863559681718e-06,8.35887945527247e-08,1.26972418690308e-10,-11.1788892745972,-3.61821413040161,1752846.125,-1.22858136819559e-06,0
"15602",-1.22860467399732e-06,8.34490379020281e-08,1.26792562560318e-10,-12.2511081695557,-3.38831663131714,1752845.625,-1.228609107784e-06,0
"15603",-1.22862945772795e-06,8.33401401223455e-08,1.30029820244459e-10,-11.7786102294922,-3.7162971496582,1752844.875,-1.22867072605004e-06,0
"15604",-1.22863411888829e-06,8.33975590808222e-08,1.28950738975675e-10,-11.6989374160767,-4.900803565979,1752843.75,-1.22875803754141e-06,0
"15605",-1.22900291898986e-06,8.33851032666644e-08,1.32547681164219e-10,-11.9352293014526,-5.04660844802856,1752842.75,-1.22885580822185e-06,0
"15606",-1.22881999686797e-06,8.34222291246078e-08,1.28591040593484e-10,-9.81660652160645,-3.30016851425171,1752841.625,-1.2289442565816e-06,0
"15607",-1.22928645396314e-06,8.34062205967712e-08,1.27871643829103e-10,-10.9215469360352,-4.34992074966431,1752840.75,-1.22900496535294e-06,0
"15608",-1.22897347409889e-06,8.34559727991291e-08,1.25893323543735e-10,-11.3087511062622,-2.31841564178467,1752840.125,-1.22902838484151e-06,0
"15609",-1.22906021715607e-06,8.34546511896406e-08,1.2157698459081e-10,-10.4231929779053,-1.43408060073853,1752839.625,-1.22901883514714e-06,0
"15610",-1.22895482945751e-06,8.33466557992324e-08,1.24274701640559e-10,-9.35041618347168,-1.03355169296265,1752838.75,-1.22898973131669e-06,0
"15611",-1.2288975312913e-06,8.32558271213202e-08,1.26253021925926e-10,-11.9450998306274,-4.2188572883606,1752838.25,-1.22895585263905e-06,0
"15612",-1.22899984944524e-06,8.32994686561506e-08,1.25533625161545e-10,-11.0443496704102,-4.71519470214844,1752837.75,-1.22892879517167e-06,0
"15613",-1.22897961318813e-06,8.343534574351e-08,1.25173940657142e-10,-11.0854196548462,-4.76748704910278,1752837.25,-1.22891901810362e-06,0
"15614",-1.22867436402885e-06,8.34892972534362e-08,1.21397142338608e-10,-9.7833251953125,-3.52982997894287,1752836.625,-1.22893902698706e-06,0
"15615",-1.22880453545804e-06,8.35352480521578e-08,1.21756826843011e-10,-8.47219657897949,-2.38454818725586,1752836,-1.22899291454814e-06,0
"15616",-1.22910830668843e-06,8.3410846229981e-08,1.23555304876177e-10,-10.69420337677,-1.76328420639038,1752835.375,-1.22906203614548e-06,0
"15617",-1.22952360470663e-06,8.32327273769806e-08,1.22656065859594e-10,-11.09619140625,-3.09003353118896,1752834.625,-1.229110011991e-06,0
"15618",-1.22901531085517e-06,8.32837940833997e-08,1.24094845510569e-10,-10.2806491851807,-3.5985803604126,1752833.75,-1.22911023936467e-06,0
"15619",-1.22926019230363e-06,8.32842914633147e-08,1.25173940657142e-10,-10.556788444519,-3.23079586029053,1752832.875,-1.22906249089283e-06,0
"15620",-1.22888673104171e-06,8.32733988431755e-08,1.23555304876177e-10,-9.2320556640625,-1.38964176177979,1752831.875,-1.22898768495361e-06,0
