Frequency,Amp,Phase
1.64E+06,0.000104904,224.665
1.65E+06,0.000200272,209.614
1.65E+06,0.000138283,200.056
1.66E+06,0.000135899,254.02
1.66E+06,0.000154972,202.495
1.66E+06,4.77E-05,221.666
1.67E+06,0.000193119,231.389
1.67E+06,0.000145435,221.105
1.67E+06,0.000202656,226.324
1.68E+06,0.000157356,208.702
1.68E+06,0.000140667,240.672
1.69E+06,0.000121593,225.269
1.69E+06,0.000181198,221.666
1.69E+06,0.000116825,258.294
1.70E+06,0.000119209,222.643
1.70E+06,8.82E-05,256.855
1.70E+06,0.000166893,242.232
1.71E+06,0.000197887,235.783
1.71E+06,0.000128746,240.386
1.72E+06,0.000169277,238.958
1.72E+06,0.000109673,220.029
1.72E+06,0.00015974,237.047
1.73E+06,0.00020504,220.754
1.73E+06,0.000171661,233.97
1.73E+06,0.000145435,224.182
1.74E+06,0.000128746,231.136
1.74E+06,0.000109673,258.58
1.75E+06,0.000166893,215.107
1.75E+06,0.000181198,221.556
1.75E+06,0.000104904,241.024
1.76E+06,0.000157356,251.581
1.76E+06,0.000174046,243.495
1.76E+06,0.000112057,207.526
1.77E+06,0.000181198,232.663
1.77E+06,0.000166893,250.252
1.78E+06,0.000138283,249.274
1.78E+06,0.000166893,226.148
1.78E+06,0.000143051,221.666
1.79E+06,0.000138283,227.521
1.79E+06,0.000171661,240.178
1.79E+06,0.000133514,238.552
1.80E+06,9.54E-05,261.996
1.80E+06,0.000150204,217.546
1.81E+06,0.000157356,248.912
1.81E+06,0.000178814,254.8
1.81E+06,0.00010252,242.682
1.82E+06,0.000119209,234.19
1.82E+06,0.000143051,217.634
1.82E+06,0.000216961,257.47
1.83E+06,0.000138283,218.908
1.83E+06,0.000164509,237.343
1.84E+06,7.87E-05,217.831
1.84E+06,0.000140667,264.501
1.84E+06,0.000164509,229.246
1.85E+06,0.000150204,242.584
1.85E+06,0.000145435,224.797
1.85E+06,0.000207424,244.045
1.86E+06,0.000121593,230.125
1.86E+06,0.000114441,230.499
1.87E+06,0.000135899,250.23
1.87E+06,0.000188351,226.994
1.87E+06,0.000197887,247.11
1.88E+06,0.000185966,253.427
1.88E+06,0.000150204,247.33
1.88E+06,0.000114441,221.336
1.89E+06,0.000154972,245.55
1.89E+06,0.000150204,206.23
1.90E+06,0.000104904,246.209
1.90E+06,0.000121593,247.242
1.90E+06,9.54E-05,253.779
1.91E+06,0.000140667,269.698
1.91E+06,0.000107288,215.403
1.91E+06,0.000152588,237.662
1.92E+06,0.00014782,253.537
1.92E+06,6.68E-05,-75.8661
